Barcode,Category,Length,Purity Name,Item Description,Item Weight_G,Gem_Weight_K,Gem_Weight_P,Gem_Weight_Y,Sell_Wastage_K,Sell_Wastage_P,Sell_Wastage_Y,Gem Cost,Labor Cost,Status
C1020,ဘယက်,16,၁၅ပဲရည်,4th Heart Model ကြိုး,3.62,0,0,0,0,0,5.5,0,0,In Stock
C1141,ဘယက်,18,၁၅ပဲရည်,ငွေမှုံ Model ကြိုး,2.86,0,0,0,0,0,5.25,0,0,In Stock
C1118,ဘယက်,17,၁၅ပဲရည်,အိုမို Model ကြိုး,4.48,0,0,0,0,0,6,0,0,In Stock
C1057,ဘယက်,18,၁၅ပဲရည်,Monica Model ကြိုး,4.83,0,0,0,0,0,6.5,0,0,In Stock
C0069,ဘယက်,17,၁၅ပဲရည်,ပန်ပန် Model ကြိုး PT,6.03,0,0,0,0,0,6.5,0,0,In Stock
C1072,ဘယက်,18,၁၅ပဲရည်,Rainy Day Model ကြိုး,4.74,0,0,0,0,0,6.5,0,0,In Stock
C1026,ဘယက်,16,၁၅ပဲရည်,LV Model ကြိုး,3.5,0,0,0,0,0,6,0,0,In Stock
C0667,ဘယက်,17,၁၅ပဲရည်,Smile Model ကြိုး,3.44,0,0,0,0,0,6,0,0,In Stock
C0160,ဘယက်,17,၁၅ပဲရည်,လီလီစက်ဝိုင်းကြိုး,3.42,0,0,0,0,0,5.5,0,0,In Stock
C0923,ဘယက်,18,၁၅ပဲရည်,Harp Model ကြိုး,3.01,0,0,0,0,0,6,0,0,In Stock
C0585,ဘယက်,19,၁၅ပဲရည်,Double Shape Model ကြိုး,3.62,0,0,0,0,0,6,0,0,In Stock
C0789,ဘယက်,18,၁၅ပဲရည်,Infinity Model ကြိုး,4.45,0,0,0,0,0,5.5,0,0,In Stock
C0447,ဘယက်,15,၁၅ပဲရည်,Infinity Model ကြိုး,5.49,0,0,0,0,0,5.5,0,0,In Stock
C0467,ဘယက်,16,၁၅ပဲရည်,Infinity Model ကြိုး,3.24,0,0,0,0,0,5.5,0,0,In Stock
C1119,ဘယက်,17,၁၅ပဲရည်,Clover Model ကြိုး,4.07,0,0,0,0,0,6,0,0,In Stock
N3290,ဘယက်,16,၁၅ပဲရည်,ပန်စီ Model ကြိုး,5.71,0,0,0,0,0,6.25,0,0,In Stock
C0705,ဘယက်,17,၁၅ပဲရည်,Double Shape Model ကြိုး,3.8,0,0,0,0,0,5.5,0,0,In Stock
C0526,ဘယက်,18,၁၅ပဲရည်,အသဲ Model ကြိုး,3.6,0,0,0,0,0,5,0,0,In Stock
C1087,ဘယက်,17,၁၅ပဲရည်,Vivid Model ကြိုး,3.4,0,0,0,0,0,5.5,0,0,In Stock
C0988,ဘယက်,18,၁၅ပဲရည်,Fancy Model ကြိုး,4.03,0,0,0,0,0,6,0,0,In Stock
C0763,ဘယက်,17,၁၅ပဲရည်,Double Carnival Model ကြိုး,8.85,0,0,0,0,1,0,0,0,In Stock
C0983,ဘယက်,16,၁၅ပဲရည်,တန်ခူးမေ Model ကြိုး,4.53,0,0,0,0,0,6.5,0,0,In Stock
C1152,ဘယက်,17,၁၅ပဲရည်,Emoji Model ကြိုး,3.39,0,0,0,0,0,5.5,0,0,In Stock
C1104,ဘယက်,16,၁၅ပဲရည်,လီလီ Brand Model ကြိုး,2.31,0,0,0,0,0,4,0,0,In Stock
C1081,ဘယက်,17,၁၅ပဲရည်,LV Model ကြိုး,3.8,0,0,0,0,0,6,0,0,In Stock
C0847,ဘယက်,17,၁၅ပဲရည်,Bella Model ကြိုး PT,4.93,0,0,0,0,0,6,0,0,In Stock
C0723,ဘယက်,17,၁၅ပဲရည်,အသဲဘောလုံး Model ကြိုး,4.2,0,0,0,0,0,6,0,0,In Stock
C1006,ဘယက်,16,၁၅ပဲရည်,Clover Model ကြိုး,4.87,0,0,0,0,0,6.5,0,0,In Stock
C1037,ဘယက်,18,၁၅ပဲရည်,Phoenix Model ကြိုး,5.44,0,0,0,0,0,6.5,0,0,In Stock
C0437,ဘယက်,17,၁၅ပဲရည်,Fancy Model ကြိုး,5,0,0,0,0,0,6,0,0,In Stock
C0601,ဘယက်,18,၁၅ပဲရည်,Angel Model ကြိုး,3.06,0,0,0,0,0,5.5,0,0,In Stock
C0677,ဘယက်,17,၁၅ပဲရည်,GG Model ကြိုး,3.33,0,0,0,0,0,6,0,0,In Stock
C1047,ဘယက်,18,၁၅ပဲရည်,Fairy Model ကြိုး,3.46,0,0,0,0,0,5.5,0,0,In Stock
C1147,ဘယက်,18,၁၅ပဲရည်,Single Model ကြိုး,3.55,0,0,0,0,0,5,0,0,In Stock
C0509,ဘယက်,20,၁၅ပဲရည်,Bella Model ကြိုး PT,5.42,0,0,0,0,0,5.5,0,0,In Stock
C1045,ဘယက်,17,၁၅ပဲရည်,သံပွ ဘောလုံး Model ကြိုး,2.41,0,0,0,0,0,5,0,0,In Stock
C1041,ဘယက်,18,၁၅ပဲရည်,လီလီဖက်ထုပ်ကြိုး,7.23,0,0,0,0,1,0,0,0,In Stock
C0964,ဘယက်,19,၁၅ပဲရည်,Rose Queen Model ကြိုး PT,9.81,0,0,0,0,1,2,0,0,In Stock
C0989,ဘယက်,19,၁၅ပဲရည်,Twin Model ကြိုး <Diamond>,3.7,0,0,0,0,0,6,0,0,In Stock
C1091,ဘယက်,20,၁၅ပဲရည်,Twin Model ကြိုး <Circle>,3.8,0,0,0,0,0,5.55,0,0,In Stock
C1101,ဘယက်,17,၁၅ပဲရည်,Bella Model ကြိုး,4.25,0,0,0,0,0,6,0,0,In Stock
C1102,ဘယက်,16,၁၅ပဲရည်,Bella Model ကြိုး PT,4.17,0,0,0,0,0,6.5,0,0,In Stock
C1125,ဘယက်,16,၁၅ပဲရည်,Only me Model ကြိုးလိမ်,2.85,0,0,0,0,0,5,0,0,In Stock
C1089,ဘယက်,20,၁၅ပဲရည်,ရွှေအိပ်မက်ကြိုး,7.54,0,0,0,0,1,0,0,0,In Stock
C0985,ဘယက်,18,၁၅ပဲရည်,ဝတ်မှုံရွှေရည်ကြိုး,8.46,0,0,0,0,1,0,0,0,In Stock
C0801,ဘယက်,18,၁၅ပဲရည်,ဝိုင်းလေးဘယက်ကြိုး,9.31,0,0,0,0,1,0,0,0,In Stock
C0821,ဘယက်,17,၁၅ပဲရည်,Clarie Model ကြိုး,4.42,0,0,0,0,0,6,0,0,In Stock
C0822,ဘယက်,18,၁၅ပဲရည်,Clarie Model ကြိုး,4.17,0,0,0,0,0,6,0,0,In Stock
C1058,ဘယက်,17,၁၅ပဲရည်,ရွှေလည်တုန်ဘယက်ကြိုး,6.57,0,0,0,0,1,0.5,0,0,In Stock
C1043,ဘယက်,18,၁၅ပဲရည်,Aroma Model ကြိုး,9.66,0,0,0,0,1,1,0,0,In Stock
C0287,ဘယက်,18,၁၅ပဲရည်,သက်တံ့ရောင် Model ကြိုး,10.88,0,0,0,0,1,1,0,0,In Stock
C0703,ဘယက်,19,၁၅ပဲရည်,အိချောပို ပုံဆန်း Model ကြိုး,15.9,0,0,0,0,2,0,0,0,In Stock
RC260001,ဘယက်,17,၁၅ပဲရည်,လီလီ 'Y' Model ကြိုး,2.03,0,0,0,0,0,4,0,0,In Stock
C1052,ဘယက်,16,၁၅ပဲရည်,Raindrop Model ကြိုး,2.49,0,0,0,0,0,4.75,0,0,In Stock
C0793,ဘယက်,17,၁၅ပဲရည်,Mix Model ကြိုး,3.3,0,0,0,0,0,6,0,0,In Stock
C0812,ဘယက်,16,၁၅ပဲရည်,ဖွေးဖွေးလင်းလက်ဘယက်ကြိုး,6.73,0,0,0,0,1,0,0,0,In Stock
RC260002,ဘယက်,16,၁၅ပဲရည်,Roller Model ကြိုး,2.67,0,0,0,0,0,5.5,0,0,In Stock
C0491,ဘယက်,18,၁၅ပဲရည်,အသဲ Candy Box ကြိုး,3.71,0,0,0,0,0,5,0,0,In Stock
C1116,ဘယက်,18,၁၅ပဲရည်,LV Model သံကြိုး,4.27,0,0,0,0,0,7,0,0,In Stock
C0529,ဘယက်,16,၁၅ပဲရည်,Feburary 14 ကြိုး,3.78,0,0,0,0,0,5,0,0,In Stock
C0842,ဘယက်,16,၁၄ပဲ ၂ပြား,ဖြူပန်းပွင့်ဘယက်ကြိုး,5.36,0,0,1.9,0,0,6.5,5000,0,In Stock
C1131,ဘယက်,17,၁၅ပဲရည်,လီလီဘောလုံးကြိုး,5.16,0,0,0,0,0,6,0,0,In Stock
C0995,ဘယက်,17,၁၅ပဲရည်,လီလီဘောလုံးကြိုး,5.08,0,0,0,0,0,6,0,0,In Stock
C1040,ဘယက်,16,၁၅ပဲရည်,Aroma Model ကြိုး,8.47,0,0,0,0,1,0,0,0,In Stock
C1008,ဘယက်,17,၁၅ပဲရည်,Clover Model ကြိုး,4.57,0,0,0,0,0,6.5,0,0,In Stock
C0899,ဘယက်,17,၁၅ပဲရည်,စည်သူဘောလုံးမော်ဒယ်ကြိုး,6.43,0,0,0,0,0,7.5,0,0,In Stock
C0671,ဘယက်,17,၁၅ပဲရည်,စင်ဒီ Model ကြိုး,5.11,0,0,0,0,0,7,0,0,In Stock
C0796,ဘယက်,17,၁၅ပဲရည်,Fancy Model ကြိုး,3.85,0,0,0,0,0,6.5,0,0,In Stock
C0270,ဘယက်,15,၁၅ပဲရည်,3D Casting ပန်းပွင့် Model ကြိုး,6.55,0,0,0,0,0,7,0,0,In Stock
C0897,ဘယက်,17,၁၅ပဲရည်,July Model ကြိုး,6.74,0,0,0,0,0,7,0,0,In Stock
